time,j0,j1,j2,j3,j4,j5
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0600,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
0.0700,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
0.0800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
0.0900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
0.1100,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000
0.1200,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000
0.1300,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000
0.1400,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000
0.1600,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000
0.1700,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000
0.1800,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000
0.1900,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000
0.2100,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000
0.2200,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000
0.2300,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000
0.2400,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000
0.2500,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000
0.2600,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000
0.2700,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000
0.2800,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000
0.2900,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000
0.3000,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000
0.3100,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000
0.3200,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000
0.3300,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000
0.3400,0.0129,0.0000,0.0000,0.0000,0.0000,0.0000
0.3500,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000
0.3600,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000
0.3700,0.0163,0.0000,0.0000,0.0000,0.0000,0.0000
0.3800,0.0176,0.0000,0.0000,0.0000,0.0000,0.0000
0.3900,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000
0.4000,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000
0.4100,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000
0.4200,0.0231,0.0000,0.0000,0.0000,0.0000,0.0000
0.4300,0.0246,0.0000,0.0000,0.0000,0.0000,0.0000
0.4400,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000
0.4500,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000
0.4600,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000
0.4700,0.0311,0.0000,0.0000,0.0000,0.0000,0.0000
0.4800,0.0328,0.0000,0.0000,0.0000,0.0000,0.0000
0.4900,0.0346,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000
0.5100,0.0384,0.0000,0.0000,0.0000,0.0000,0.0000
0.5200,0.0403,0.0000,0.0000,0.0000,0.0000,0.0000
0.5300,0.0423,0.0000,0.0000,0.0000,0.0000,0.0000
0.5400,0.0444,0.0000,0.0000,0.0000,0.0000,0.0000
0.5500,0.0465,0.0000,0.0000,0.0000,0.0000,0.0000
0.5600,0.0486,0.0000,0.0000,0.0000,0.0000,0.0000
0.5700,0.0508,0.0000,0.0000,0.0000,0.0000,0.0000
0.5800,0.0531,0.0000,0.0000,0.0000,0.0000,0.0000
0.5900,0.0554,0.0000,0.0000,0.0000,0.0000,0.0000
0.6000,0.0577,0.0000,0.0000,0.0000,0.0000,0.0000
0.6100,0.0601,0.0000,0.0000,0.0000,0.0000,0.0000
0.6200,0.0626,0.0000,0.0000,0.0000,0.0000,0.0000
0.6300,0.0651,0.0000,0.0000,0.0000,0.0000,0.0000
0.6400,0.0676,0.0000,0.0000,0.0000,0.0000,0.0000
0.6500,0.0702,0.0000,0.0000,0.0000,0.0000,0.0000
0.6600,0.0729,0.0000,0.0000,0.0000,0.0000,0.0000
0.6700,0.0756,0.0000,0.0000,0.0000,0.0000,0.0000
0.6800,0.0783,0.0000,0.0000,0.0000,0.0000,0.0000
0.6900,0.0811,0.0000,0.0000,0.0000,0.0000,0.0000
0.7000,0.0840,0.0000,0.0000,0.0000,0.0000,0.0000
0.7100,0.0869,0.0000,0.0000,0.0000,0.0000,0.0000
0.7200,0.0898,0.0000,0.0000,0.0000,0.0000,0.0000
0.7300,0.0928,0.0000,0.0000,0.0000,0.0000,0.0000
0.7400,0.0959,0.0000,0.0000,0.0000,0.0000,0.0000
0.7500,0.0990,0.0000,0.0000,0.0000,0.0000,0.0000
0.7600,0.1021,0.0000,0.0000,0.0000,0.0000,0.0000
0.7700,0.1053,0.0000,0.0000,0.0000,0.0000,0.0000
0.7800,0.1086,0.0000,0.0000,0.0000,0.0000,0.0000
0.7900,0.1119,0.0000,0.0000,0.0000,0.0000,0.0000
0.8000,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000
0.8100,0.1186,0.0000,0.0000,0.0000,0.0000,0.0000
0.8200,0.1221,0.0000,0.0000,0.0000,0.0000,0.0000
0.8300,0.1256,0.0000,0.0000,0.0000,0.0000,0.0000
0.8400,0.1291,0.0000,0.0000,0.0000,0.0000,0.0000
0.8500,0.1327,0.0000,0.0000,0.0000,0.0000,0.0000
0.8600,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000
0.8700,0.1401,0.0000,0.0000,0.0000,0.0000,0.0000
0.8800,0.1438,0.0000,0.0000,0.0000,0.0000,0.0000
0.8900,0.1476,0.0000,0.0000,0.0000,0.0000,0.0000
0.9000,0.1515,0.0000,0.0000,0.0000,0.0000,0.0000
0.9100,0.1554,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,0.1593,0.0000,0.0000,0.0000,0.0000,0.0000
0.9300,0.1633,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.1674,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000
0.9600,0.1756,0.0000,0.0000,0.0000,0.0000,0.0000
0.9700,0.1798,0.0000,0.0000,0.0000,0.0000,0.0000
0.9800,0.1841,0.0000,0.0000,0.0000,0.0000,0.0000
0.9900,0.1884,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.1927,0.0000,0.0000,0.0000,0.0000,0.0000
1.0100,0.1971,0.0000,0.0000,0.0000,0.0000,0.0000
1.0200,0.2016,0.0000,0.0000,0.0000,0.0000,0.0000
1.0300,0.2061,0.0000,0.0000,0.0000,0.0000,0.0000
1.0400,0.2106,0.0000,0.0000,0.0000,0.0000,0.0000
1.0500,0.2152,0.0000,0.0000,0.0000,0.0000,0.0000
1.0600,0.2199,0.0000,0.0000,0.0000,0.0000,0.0000
1.0700,0.2246,0.0000,0.0000,0.0000,0.0000,0.0000
1.0800,0.2293,0.0000,0.0000,0.0000,0.0000,0.0000
1.0900,0.2341,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,0.2390,0.0000,0.0000,0.0000,0.0000,0.0000
1.1100,0.2439,0.0000,0.0000,0.0000,0.0000,0.0000
1.1200,0.2488,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.2538,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.2589,0.0000,0.0000,0.0000,0.0000,0.0000
1.1500,0.2640,0.0000,0.0000,0.0000,0.0000,0.0000
1.1600,0.2691,0.0000,0.0000,0.0000,0.0000,0.0000
1.1700,0.2743,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.2796,0.0000,0.0000,0.0000,0.0000,0.0000
1.1900,0.2849,0.0000,0.0000,0.0000,0.0000,0.0000
1.2000,0.2902,0.0000,0.0000,0.0000,0.0000,0.0000
1.2100,0.2956,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.3011,0.0000,0.0000,0.0000,0.0000,0.0000
1.2300,0.3066,0.0000,0.0000,0.0000,0.0000,0.0000
1.2400,0.3121,0.0000,0.0000,0.0000,0.0000,0.0000
1.2500,0.3177,0.0000,0.0000,0.0000,0.0000,0.0000
1.2600,0.3233,0.0000,0.0000,0.0000,0.0000,0.0000
1.2700,0.3290,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,0.3347,0.0000,0.0000,0.0000,0.0000,0.0000
1.2900,0.3404,0.0000,0.0000,0.0000,0.0000,0.0000
1.3000,0.3461,0.0000,0.0000,0.0000,0.0000,0.0000
1.3100,0.3519,0.0000,0.0000,0.0000,0.0000,0.0000
1.3200,0.3578,0.0000,0.0000,0.0000,0.0000,0.0000
1.3300,0.3636,0.0000,0.0000,0.0000,0.0000,0.0000
1.3400,0.3695,0.0000,0.0000,0.0000,0.0000,0.0000
1.3500,0.3754,0.0000,0.0000,0.0000,0.0000,0.0000
1.3600,0.3813,0.0000,0.0000,0.0000,0.0000,0.0000
1.3700,0.3872,0.0000,0.0000,0.0000,0.0000,0.0000
1.3800,0.3932,0.0000,0.0000,0.0000,0.0000,0.0000
1.3900,0.3991,0.0000,0.0000,0.0000,0.0000,0.0000
1.4000,0.4051,0.0000,0.0000,0.0000,0.0000,0.0000
1.4100,0.4111,0.0000,0.0000,0.0000,0.0000,0.0000
1.4200,0.4171,0.0000,0.0000,0.0000,0.0000,0.0000
1.4300,0.4231,0.0000,0.0000,0.0000,0.0000,0.0000
1.4400,0.4291,0.0000,0.0000,0.0000,0.0000,0.0000
1.4500,0.4351,0.0000,0.0000,0.0000,0.0000,0.0000
1.4600,0.4411,0.0000,0.0000,0.0000,0.0000,0.0000
1.4700,0.4471,0.0000,0.0000,0.0000,0.0000,0.0000
1.4800,0.4531,0.0000,0.0000,0.0000,0.0000,0.0000
1.4900,0.4591,0.0000,0.0000,0.0000,0.0000,0.0000
1.5000,0.4651,0.0000,0.0000,0.0000,0.0000,0.0000
1.5100,0.4711,0.0000,0.0000,0.0000,0.0000,0.0000
1.5200,0.4771,0.0000,0.0000,0.0000,0.0000,0.0000
1.5300,0.4830,0.0000,0.0000,0.0000,0.0000,0.0000
1.5400,0.4890,0.0000,0.0000,0.0000,0.0000,0.0000
1.5500,0.4949,0.0000,0.0000,0.0000,0.0000,0.0000
1.5600,0.5008,0.0000,0.0000,0.0000,0.0000,0.0000
1.5700,0.5067,0.0000,0.0000,0.0000,0.0000,0.0000
1.5800,0.5126,0.0000,0.0000,0.0000,0.0000,0.0000
1.5900,0.5184,0.0000,0.0000,0.0000,0.0000,0.0000
1.6000,0.5242,0.0000,0.0000,0.0000,0.0000,0.0000
1.6100,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000
1.6200,0.5357,0.0000,0.0000,0.0000,0.0000,0.0000
1.6300,0.5414,0.0000,0.0000,0.0000,0.0000,0.0000
1.6400,0.5471,0.0000,0.0000,0.0000,0.0000,0.0000
1.6500,0.5527,0.0000,0.0000,0.0000,0.0000,0.0000
1.6600,0.5583,0.0000,0.0000,0.0000,0.0000,0.0000
1.6700,0.5639,0.0000,0.0000,0.0000,0.0000,0.0000
1.6800,0.5694,0.0000,0.0000,0.0000,0.0000,0.0000
1.6900,0.5749,0.0000,0.0000,0.0000,0.0000,0.0000
1.7000,0.5803,0.0000,0.0000,0.0000,0.0000,0.0000
1.7100,0.5857,0.0000,0.0000,0.0000,0.0000,0.0000
1.7200,0.5910,0.0000,0.0000,0.0000,0.0000,0.0000
1.7300,0.5963,0.0000,0.0000,0.0000,0.0000,0.0000
1.7400,0.6015,0.0000,0.0000,0.0000,0.0000,0.0000
1.7500,0.6066,0.0000,0.0000,0.0000,0.0000,0.0000
1.7600,0.6118,0.0000,0.0000,0.0000,0.0000,0.0000
1.7700,0.6168,0.0000,0.0000,0.0000,0.0000,0.0000
1.7800,0.6219,0.0000,0.0000,0.0000,0.0000,0.0000
1.7900,0.6268,0.0000,0.0000,0.0000,0.0000,0.0000
1.8000,0.6317,0.0000,0.0000,0.0000,0.0000,0.0000
1.8100,0.6366,0.0000,0.0000,0.0000,0.0000,0.0000
1.8200,0.6414,0.0000,0.0000,0.0000,0.0000,0.0000
1.8300,0.6462,0.0000,0.0000,0.0000,0.0000,0.0000
1.8400,0.6509,0.0000,0.0000,0.0000,0.0000,0.0000
1.8500,0.6556,0.0000,0.0000,0.0000,0.0000,0.0000
1.8600,0.6602,0.0000,0.0000,0.0000,0.0000,0.0000
1.8700,0.6648,0.0000,0.0000,0.0000,0.0000,0.0000
1.8800,0.6693,0.0000,0.0000,0.0000,0.0000,0.0000
1.8900,0.6738,0.0000,0.0000,0.0000,0.0000,0.0000
1.9000,0.6782,0.0000,0.0000,0.0000,0.0000,0.0000
1.9100,0.6826,0.0000,0.0000,0.0000,0.0000,0.0000
1.9200,0.6869,0.0000,0.0000,0.0000,0.0000,0.0000
1.9300,0.6912,0.0000,0.0000,0.0000,0.0000,0.0000
1.9400,0.6954,0.0000,0.0000,0.0000,0.0000,0.0000
1.9500,0.6995,0.0000,0.0000,0.0000,0.0000,0.0000
1.9600,0.7037,0.0000,0.0000,0.0000,0.0000,0.0000
1.9700,0.7077,0.0000,0.0000,0.0000,0.0000,0.0000
1.9800,0.7118,0.0000,0.0000,0.0000,0.0000,0.0000
1.9900,0.7157,0.0000,0.0000,0.0000,0.0000,0.0000
2.0000,0.7196,0.0000,0.0000,0.0000,0.0000,0.0000
2.0100,0.7235,0.0000,0.0000,0.0000,0.0000,0.0000
2.0200,0.7273,0.0000,0.0000,0.0000,0.0000,0.0000
2.0300,0.7311,0.0000,0.0000,0.0000,0.0000,0.0000
2.0400,0.7348,0.0000,0.0000,0.0000,0.0000,0.0000
2.0500,0.7385,0.0000,0.0000,0.0000,0.0000,0.0000
2.0600,0.7421,0.0000,0.0000,0.0000,0.0000,0.0000
2.0700,0.7457,0.0000,0.0000,0.0000,0.0000,0.0000
2.0800,0.7492,0.0000,0.0000,0.0000,0.0000,0.0000
2.0900,0.7527,0.0000,0.0000,0.0000,0.0000,0.0000
2.1000,0.7561,0.0000,0.0000,0.0000,0.0000,0.0000
2.1100,0.7595,0.0000,0.0000,0.0000,0.0000,0.0000
2.1200,0.7628,0.0000,0.0000,0.0000,0.0000,0.0000
2.1300,0.7661,0.0000,0.0000,0.0000,0.0000,0.0000
2.1400,0.7693,0.0000,0.0000,0.0000,0.0000,0.0000
2.1500,0.7724,0.0000,0.0000,0.0000,0.0000,0.0000
2.1600,0.7756,0.0000,0.0000,0.0000,0.0000,0.0000
2.1700,0.7786,0.0000,0.0000,0.0000,0.0000,0.0000
2.1800,0.7817,0.0000,0.0000,0.0000,0.0000,0.0000
2.1900,0.7846,0.0000,0.0000,0.0000,0.0000,0.0000
2.2000,0.7875,0.0000,0.0000,0.0000,0.0000,0.0000
2.2100,0.7904,0.0000,0.0000,0.0000,0.0000,0.0000
2.2200,0.7932,0.0000,0.0000,0.0000,0.0000,0.0000
2.2300,0.7960,0.0000,0.0000,0.0000,0.0000,0.0000
2.2400,0.7987,0.0000,0.0000,0.0000,0.0000,0.0000
2.2500,0.8014,0.0000,0.0000,0.0000,0.0000,0.0000
2.2600,0.8040,0.0000,0.0000,0.0000,0.0000,0.0000
2.2700,0.8066,0.0000,0.0000,0.0000,0.0000,0.0000
2.2800,0.8091,0.0000,0.0000,0.0000,0.0000,0.0000
2.2900,0.8116,0.0000,0.0000,0.0000,0.0000,0.0000
2.3000,0.8140,0.0000,0.0000,0.0000,0.0000,0.0000
2.3100,0.8164,0.0000,0.0000,0.0000,0.0000,0.0000
2.3200,0.8187,0.0000,0.0000,0.0000,0.0000,0.0000
2.3300,0.8210,0.0000,0.0000,0.0000,0.0000,0.0000
2.3400,0.8232,0.0000,0.0000,0.0000,0.0000,0.0000
2.3500,0.8253,0.0000,0.0000,0.0000,0.0000,0.0000
2.3600,0.8275,0.0000,0.0000,0.0000,0.0000,0.0000
2.3700,0.8295,0.0000,0.0000,0.0000,0.0000,0.0000
2.3800,0.8316,0.0000,0.0000,0.0000,0.0000,0.0000
2.3900,0.8335,0.0000,0.0000,0.0000,0.0000,0.0000
2.4000,0.8354,0.0000,0.0000,0.0000,0.0000,0.0000
2.4100,0.8373,0.0000,0.0000,0.0000,0.0000,0.0000
2.4200,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
2.4300,0.8409,0.0000,0.0000,0.0000,0.0000,0.0000
2.4400,0.8426,0.0000,0.0000,0.0000,0.0000,0.0000
2.4500,0.8443,0.0000,0.0000,0.0000,0.0000,0.0000
2.4600,0.8459,0.0000,0.0000,0.0000,0.0000,0.0000
2.4700,0.8475,0.0000,0.0000,0.0000,0.0000,0.0000
2.4800,0.8490,0.0000,0.0000,0.0000,0.0000,0.0000
2.4900,0.8505,0.0000,0.0000,0.0000,0.0000,0.0000
2.5000,0.8519,0.0000,0.0000,0.0000,0.0000,0.0000
2.5100,0.8533,0.0000,0.0000,0.0000,0.0000,0.0000
2.5200,0.8546,0.0000,0.0000,0.0000,0.0000,0.0000
2.5300,0.8559,0.0000,0.0000,0.0000,0.0000,0.0000
2.5400,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000
2.5500,0.8583,0.0000,0.0000,0.0000,0.0000,0.0000
2.5600,0.8594,0.0000,0.0000,0.0000,0.0000,0.0000
2.5700,0.8604,0.0000,0.0000,0.0000,0.0000,0.0000
2.5800,0.8615,0.0000,0.0000,0.0000,0.0000,0.0000
2.5900,0.8624,0.0000,0.0000,0.0000,0.0000,0.0000
2.6000,0.8634,0.0000,0.0000,0.0000,0.0000,0.0000
2.6100,0.8642,0.0000,0.0000,0.0000,0.0000,0.0000
2.6200,0.8650,0.0000,0.0000,0.0000,0.0000,0.0000
2.6300,0.8658,0.0000,0.0000,0.0000,0.0000,0.0000
2.6400,0.8665,0.0000,0.0000,0.0000,0.0000,0.0000
2.6500,0.8672,0.0000,0.0000,0.0000,0.0000,0.0000
2.6600,0.8678,0.0000,0.0000,0.0000,0.0000,0.0000
2.6700,0.8684,0.0000,0.0000,0.0000,0.0000,0.0000
2.6800,0.8689,0.0000,0.0000,0.0000,0.0000,0.0000
2.6900,0.8694,0.0000,0.0000,0.0000,0.0000,0.0000
2.7000,0.8698,0.0000,0.0000,0.0000,0.0000,0.0000
2.7100,0.8702,0.0000,0.0000,0.0000,0.0000,0.0000
2.7200,0.8706,0.0000,0.0000,0.0000,0.0000,0.0000
2.7300,0.8709,0.0000,0.0000,0.0000,0.0000,0.0000
2.7400,0.8712,0.0000,0.0000,0.0000,0.0000,0.0000
2.7500,0.8714,0.0000,0.0000,0.0000,0.0000,0.0000
2.7600,0.8717,0.0000,0.0000,0.0000,0.0000,0.0000
2.7700,0.8719,0.0000,0.0000,0.0000,0.0000,0.0000
2.7800,0.8720,0.0000,0.0000,0.0000,0.0000,0.0000
2.7900,0.8722,0.0000,0.0000,0.0000,0.0000,0.0000
2.8000,0.8723,0.0000,0.0000,0.0000,0.0000,0.0000
2.8100,0.8724,0.0000,0.0000,0.0000,0.0000,0.0000
2.8200,0.8725,0.0000,0.0000,0.0000,0.0000,0.0000
2.8300,0.8725,0.0000,0.0000,0.0000,0.0000,0.0000
2.8400,0.8726,0.0000,0.0000,0.0000,0.0000,0.0000
2.8500,0.8726,0.0000,0.0000,0.0000,0.0000,0.0000
2.8600,0.8726,0.0000,0.0000,0.0000,0.0000,0.0000
2.8700,0.8727,0.0000,0.0000,0.0000,0.0000,0.0000
2.8800,0.8727,0.0000,0.0000,0.0000,0.0000,0.0000
2.8900,0.8727,0.0000,0.0000,0.0000,0.0000,0.0000
2.9000,0.8727,0.0000,0.0000,0.0000,0.0000,0.0000
